iter	RMSE
0	0.8628741718
1	0.8202209101
2	0.7936149239
3	0.7746378099
4	0.7665698171
5	0.7508840827
6	0.7379789655
7	0.7292430231
8	0.7214216271
9	0.7186147639
10	0.7135080841
11	0.708895461
12	0.7068430987
13	0.7043845492
14	0.7011697333
15	0.6976620248
16	0.691568096
17	0.6839023793
18	0.6821944924
19	0.6779754435
20	0.6761137606
21	0.6749972848
22	0.6690959779
23	0.6575674731
24	0.6536187221
25	0.6520900116
26	0.651912905
27	0.6506423647
28	0.6368586202
29	0.6335441378
30	0.6300946227
31	0.627483178
32	0.6263544514
33	0.6253114111
34	0.6227893636
35	0.6212926229
36	0.6200841568
37	0.6174454939
38	0.6159749753
39	0.6151188577
40	0.6141382089
41	0.6127990363
42	0.6122186651
43	0.6107923699
44	0.6083522363
45	0.6011325962
46	0.6003404952
47	0.5944924308
48	0.5921596503
49	0.5914771363
50	0.5904951041
51	0.5892792494
52	0.585850101
53	0.5829843671
54	0.5817506039
55	0.5813970631
56	0.5802427327
57	0.5796897161
58	0.5785829791
59	0.5771162359
60	0.5738538883
61	0.5716669932
62	0.5705408109
63	0.5694133079
64	0.5683047774
65	0.5673145401
66	0.5664083127
67	0.5645506817
68	0.5633061642
69	0.5617574713
70	0.5603166846
71	0.5592009731
72	0.5584320169
73	0.5564687944
74	0.5537890264
75	0.5529301105
76	0.5516663902
77	0.5510789808
78	0.5507211788
79	0.5492455223
80	0.5483565016
81	0.5475594439
82	0.5469123708
83	0.5451503348
84	0.5444531578
85	0.5419035034
86	0.5393067608
87	0.5375206526
88	0.5366944686
89	0.5358453802
90	0.5351569458
91	0.534170744
92	0.533275803
93	0.5314746901
94	0.5310014629
95	0.5306639768
96	0.5296770962
97	0.5292149037
98	0.5288601912
99	0.5276825934
100	0.5271170502
101	0.5269565178
102	0.5262725087
103	0.5252497709
104	0.5244148885
105	0.5240177611
106	0.5232701813
107	0.5228849096
108	0.5224960209
109	0.521705445
110	0.5209447949
111	0.5186942827
112	0.5180602489
113	0.5164336628
114	0.5158127861
115	0.5157738356
116	0.5153016438
117	0.5149122904
118	0.5142006568
119	0.5130218949
120	0.5119272543
121	0.511391042
