iter	Passed	Remaining
0	161	161538
1	199	99696
2	243	80826
3	285	71171
4	329	65512
5	371	61602
6	419	59451
7	464	57539
8	511	56365
9	560	55502
10	608	54683
11	650	53594
12	695	52771
13	742	52299
14	790	51930
15	838	51577
16	892	51611
17	934	50958
18	974	50330
19	1019	49956
20	1071	49956
21	1116	49635
22	1168	49646
23	1215	49423
24	1254	48910
25	1301	48762
26	1347	48551
27	1388	48214
28	1430	47911
29	1468	47479
30	1511	47233
31	1557	47127
32	1591	46623
33	1632	46386
34	1682	46396
35	1734	46451
36	1784	46449
37	1831	46371
38	1889	46565
39	1944	46666
40	1999	46767
41	2040	46548
42	2069	46052
43	2112	45906
44	2162	45893
45	2202	45675
46	2250	45623
47	2290	45432
48	2339	45403
49	2379	45215
50	2412	44897
51	2456	44781
52	2489	44480
53	2537	44454
54	2580	44344
55	2621	44189
56	2660	44010
57	2706	43962
58	2748	43843
59	2801	43888
60	2854	43936
61	2911	44044
62	2974	44240
63	3029	44312
64	3089	44445
65	3141	44460
66	3187	44384
67	3233	44320
68	3271	44142
69	3316	44064
70	3356	43918
71	3391	43714
72	3431	43574
73	3471	43446
74	3514	43350
75	3560	43283
76	3604	43202
77	3645	43086
78	3689	43014
79	3730	42904
80	3779	42877
81	3831	42892
82	3883	42907
83	3927	42831
84	3969	42727
85	4015	42673
86	4047	42475
87	4082	42311
88	4124	42222
89	4169	42160
90	4205	42005
91	4249	41936
92	4300	41940
93	4336	41800
94	4374	41670
95	4414	41568
96	4449	41423
97	4494	41369
98	4540	41326
99	4584	41261
100	4630	41213
101	4664	41069
102	4700	40933
103	4733	40782
104	4779	40737
105	4824	40686
106	4865	40604
107	4918	40625
108	4963	40572
109	5001	40462
110	5047	40428
111	5092	40375
112	5138	40338
113	5180	40260
114	5231	40256
115	5263	40108
116	5316	40122
117	5358	40053
118	5401	39992
119	5445	39930
120	5490	39886
121	5524	39756
122	5559	39638
123	5592	39508
124	5629	39406
125	5669	39326
126	5723	39343
127	5778	39363
128	5819	39293
129	5871	39295
130	5925	39304
131	5966	39236
132	6012	39194
133	6059	39158
134	6098	39075
135	6147	39054
136	6191	39000
137	6242	38994
138	6292	38974
139	6333	38905
140	6371	38816
141	6413	38750
142	6461	38726
143	6509	38693
144	6553	38644
145	6600	38611
146	6648	38578
147	6690	38517
148	6738	38487
149	6791	38484
150	6843	38478
151	6894	38464
152	6940	38422
153	6982	38357
154	7025	38298
155	7068	38243
156	7120	38232
157	7168	38202
158	7212	38151
159	7255	38090
160	7308	38086
161	7354	38045
162	7402	38014
163	7447	37961
164	7491	37913
165	7523	37798
166	7565	37738
167	7618	37730
168	7664	37687
169	7702	37608
170	7746	37554
171	7798	37541
172	7846	37506
173	7896	37485
174	7936	37413
175	7982	37373
176	8026	37321
177	8076	37297
178	8129	37288
179	8182	37276
180	8235	37264
181	8292	37269
182	8334	37209
183	8377	37150
184	8425	37117
185	8466	37051
186	8511	37006
187	8547	36918
188	8581	36825
189	8618	36740
190	8657	36667
191	8700	36615
192	8746	36572
193	8795	36543
194	8829	36451
195	8880	36426
196	8938	36434
197	8990	36417
198	9030	36349
199	9073	36292
200	9120	36253
201	9162	36197
202	9212	36167
203	9250	36093
204	9296	36053
205	9336	35985
206	9368	35891
207	9418	35860
208	9461	35807
209	9502	35746
210	9540	35673
211	9575	35592
212	9617	35535
213	9667	35507
214	9714	35470
215	9757	35416
216	9804	35376
217	9839	35296
218	9882	35242
219	9923	35182
220	9955	35091
221	9999	35042
222	10038	34978
223	10084	34936
224	10117	34850
225	10157	34788
226	10195	34720
227	10250	34708
228	10293	34655
229	10336	34605
230	10381	34561
231	10420	34495
232	10461	34437
233	10511	34409
234	10555	34360
235	10587	34274
236	10633	34234
237	10672	34169
238	10719	34130
239	10767	34098
240	10817	34069
241	10863	34027
242	10907	33977
243	10943	33907
244	10988	33861
245	11027	33800
246	11067	33739
247	11113	33700
248	11159	33658
249	11199	33598
250	11239	33538
251	11289	33509
252	11329	33451
253	11368	33388
254	11411	33340
255	11454	33291
256	11500	33249
257	11536	33177
258	11585	33145
259	11640	33130
260	11686	33088
261	11734	33053
262	11792	33046
263	11838	33003
264	11885	32964
265	11923	32902
266	11962	32841
267	12014	32815
268	12059	32771
269	12104	32727
270	12148	32678
271	12189	32626
272	12231	32573
273	12283	32547
274	12328	32502
275	12375	32463
276	12416	32409
277	12459	32359
278	12501	32307
279	12547	32265
280	12593	32224
281	12635	32170
282	12675	32112
283	12725	32083
284	12778	32057
285	12830	32032
286	12871	31977
287	12913	31924
288	12963	31892
289	13008	31848
290	13056	31812
291	13119	31809
292	13172	31784
293	13232	31775
294	13280	31738
295	13323	31688
296	13378	31666
297	13442	31666
298	13479	31602
299	13517	31541
300	13565	31502
301	13604	31442
302	13644	31387
303	13682	31325
304	13738	31304
305	13789	31273
306	13838	31237
307	13880	31185
308	13918	31125
309	13949	31049
310	13981	30976
311	14021	30919
312	14068	30878
313	14104	30814
314	14146	30762
315	14178	30690
316	14222	30643
317	14255	30572
318	14299	30526
319	14334	30461
320	14376	30411
321	14421	30365
322	14468	30325
323	14507	30267
324	14550	30219
325	14594	30174
326	14633	30116
327	14674	30065
328	14718	30017
329	14757	29961
330	14811	29935
331	14847	29873
332	14888	29821
333	14923	29757
334	14958	29693
335	14994	29632
336	15034	29578
337	15081	29539
338	15115	29472
339	15162	29432
340	15213	29401
341	15258	29357
342	15295	29297
343	15332	29239
344	15376	29192
345	15420	29147
346	15457	29088
347	15498	29037
348	15547	29001
349	15585	28944
350	15619	28881
351	15661	28830
352	15705	28785
353	15747	28737
354	15797	28701
355	15845	28664
356	15887	28615
357	15924	28556
358	15962	28501
359	15999	28442
360	16040	28393
361	16078	28337
362	16129	28304
363	16168	28251
364	16209	28200
365	16254	28156
366	16301	28117
367	16345	28072
368	16378	28008
369	16419	27957
370	16454	27897
371	16500	27855
372	16541	27806
373	16579	27750
374	16620	27700
375	16656	27642
376	16697	27592
377	16737	27540
378	16779	27494
379	16816	27437
380	16859	27391
381	16908	27354
382	16951	27308
383	16993	27260
384	17034	27211
385	17078	27166
386	17118	27114
387	17158	27064
388	17195	27008
389	17231	26951
390	17275	26908
391	17317	26860
392	17356	26808
393	17399	26762
394	17437	26708
395	17474	26653
396	17515	26604
397	17566	26571
398	17606	26519
399	17652	26478
400	17687	26420
401	17734	26380
402	17788	26351
403	17831	26306
404	17874	26260
405	17926	26226
406	17958	26165
407	17997	26113
408	18045	26076
409	18083	26022
410	18122	25971
411	18160	25918
412	18202	25871
413	18249	25831
414	18282	25772
415	18326	25727
416	18374	25688
417	18409	25632
418	18450	25583
419	18490	25534
420	18536	25492
421	18577	25445
422	18645	25434
423	18692	25393
424	18732	25343
425	18772	25294
426	18808	25239
427	18857	25202
428	18897	25152
429	18937	25102
430	18979	25056
431	19022	25011
432	19057	24955
433	19095	24903
434	19135	24853
435	19167	24795
436	19208	24746
437	19258	24711
438	19303	24667
439	19345	24621
440	19380	24566
441	19417	24514
442	19448	24453
443	19486	24401
444	19531	24359
445	19597	24343
446	19644	24303
447	19695	24267
448	19739	24223
449	19783	24179
450	19827	24136
451	19867	24086
452	19914	24047
453	19962	24008
454	20004	23961
455	20050	23919
456	20094	23875
457	20135	23828
458	20180	23785
459	20225	23743
460	20265	23694
461	20308	23649
462	20358	23612
463	20397	23562
464	20436	23512
465	20475	23463
466	20519	23418
467	20559	23371
468	20597	23319
469	20639	23274
470	20688	23236
471	20734	23194
472	20770	23141
473	20816	23099
474	20850	23045
475	20893	22999
476	20943	22962
477	20981	22913
478	21028	22872
479	21078	22834
480	21126	22795
481	21179	22761
482	21259	22755
483	21304	22712
484	21343	22663
485	21395	22628
486	21441	22586
487	21490	22547
488	21534	22502
489	21579	22460
490	21623	22415
491	21680	22385
492	21731	22349
493	21779	22308
494	21821	22262
495	21872	22224
496	21916	22181
